productName;productSlug;productDescription;sku;price;currencyCode;optionGroups;optionValues
Tear off kit (5 pcs) for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);tear-off-kit-5-pcs-for-full-face-helmets-gp8-evo-gp8-k-evo-s;;SC0-0165;2100;EUR;Color;Color:TEAR OFF KIT FOR GP8 EVO HELMETS
Spare visor locking system for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);spare-visor-locking-system-for-full-face-helmets-gp8-evo-gp8;;SC0-0168;6400;EUR;Color;Color:VISOR LOCKING SYSTEM FOR GP8 EVO
Rear spoiler for full face helmets GP8 EVO, GP8 K EVO (SC785E, SC785EK);rear-spoiler-for-full-face-helmets-gp8-evo-gp8-k-evo-sc785e-;;SC0-0172;4600;EUR;Color;Color:BLACK REAR SPOILER GP8 EVO HELMETS
Spare cheeck pads (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-cheeck-pads-size-from-xxs-to-l-for-full-face-helmets-k;;SC0-0176-L;7200;EUR;Color;Color:L
Spare cheeck pads (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-cheeck-pads-size-from-xxs-to-l-for-full-face-helmets-k;;SC0-0176-M;7200;EUR;Color;Color:M
Spare cheeck pads (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-cheeck-pads-size-from-xxs-to-l-for-full-face-helmets-k;;SC0-0176-S;7200;EUR;Color;Color:S
Spare cheeck pads (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-cheeck-pads-size-from-xxs-to-l-for-full-face-helmets-k;;SC0-0176-XS;7200;EUR;Color;Color:XS
Spare inner lining (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-inner-lining-size-from-xxs-to-l-for-full-face-helmets-;;SC0-0177-L;5400;EUR;Color;Color:INNER TOP LINING KJ8 HELMET
Spare inner lining (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-inner-lining-size-from-xxs-to-l-for-full-face-helmets-;;SC0-0177-M;5400;EUR;Color;Color:INNER TOP LINING KJ8 HELMET MARRONE
Spare inner lining (size from XXS to L) for full face helmets KJ8 series (SC792, SC790);spare-inner-lining-size-from-xxs-to-l-for-full-face-helmets-;;SC0-0177-XS;5400;EUR;Color;Color:INNER TOP LINING KJ8 HELMET
White sun peak for jet helmet J-R series (SC797, SC796, SC795);white-sun-peak-for-jet-helmet-j-r-series-sc797-sc796-sc795;;SC0-0179;4650;EUR;Color;Color:WHITE SUN PEAK J-R HELMET
Spare sun lens for peak jet helmet J-R series (SC797, SC796, SC795);spare-sun-lens-for-peak-jet-helmet-j-r-series-sc797-sc796-sc;;SC0-0180;1420;EUR;Color;Color:SUN LENS FOR J-R HELMET PEAK
Fixing screw kit for peak jet helmet J-R series (SC797, SC796, SC795);fixing-screw-kit-for-peak-jet-helmet-j-r-series-sc797-sc796-;;SC0-0181;1800;EUR;Color;Color:PEAK SCREW FOR J-R HELMET
Cheek pads for jet helmet J-R Intercom (SC797);cheek-pads-for-jet-helmet-j-r-intercom-sc797;;SC0-0182;9000;EUR;Color;Color:SPARE CHEEK PADS FOR J-R INTERCOM
